name,mpg,cylinders,displacement,weight,acceleration,model_year,origin
chevrolet chevelle malibu,0.2393617021276596,0.9999999999999999,0.6175710594315246,0.5361497022965694,0.23809523809523814,0.0,usa
buick skylark 320,0.1595744680851064,0.9999999999999999,0.7286821705426357,0.5897363198185428,0.20833333333333334,0.0,usa
plymouth satellite,0.2393617021276596,0.9999999999999999,0.6459948320413438,0.5168698610717324,0.17857142857142855,0.0,usa
amc rebel sst,0.18617021276595747,0.9999999999999999,0.6098191214470285,0.5160192798412249,0.23809523809523814,0.0,usa
ford torino,0.21276595744680854,0.19999999999999996,0.6046511627906976,0.5205557130705983,0.14880952380952384,0.0,usa
ford galaxie 500,0.1595744680851064,0.9999999999999999,0.9328165374677003,0.7734618656081658,0.11904761904761907,0.0,usa
chevrolet impala,0.13297872340425537,0.9999999999999999,0.9974160206718347,0.33583782251204997,0.059523809523809534,0.0,usa
plymouth fury iii,0.13297872340425537,0.9999999999999999,0.9612403100775194,0.7652395803799263,0.029761904761904767,0.0,usa
pontiac catalina,0.13297872340425537,0.9999999999999999,1.0,0.7972781400623761,0.11904761904761907,0.0,usa
amc ambassador dpl,0.1595744680851064,0.9999999999999999,0.8320413436692508,0.6342500708817693,0.029761904761904767,0.0,usa
dodge challenger se,0.1595744680851064,0.9999999999999999,0.8139534883720931,0.5528777998298838,0.11904761904761907,0.0,usa
plymouth 'cuda 340,0.13297872340425537,0.9999999999999999,0.702842377260982,0.5659200453643324,0.0,0.0,usa
chevrolet monte carlo,0.1595744680851064,0.19999999999999996,0.8578811369509044,0.6090161610433797,0.0892857142857143,0.0,usa
buick estate wagon (sw),0.13297872340425537,0.9999999999999999,1.0,0.4176353841791892,0.11904761904761907,0.0,usa
toyota corona mark ii,0.398936170212766,0.19999999999999996,0.11627906976744187,0.21519705131840094,0.4166666666666667,0.0,japan
plymouth duster,0.34574468085106386,0.5999999999999999,0.33591731266149877,0.3459030337397222,0.44642857142857145,0.0,usa
amc hornet,0.2393617021276596,0.5999999999999999,0.3385012919896641,0.32917493620640775,0.44642857142857145,0.0,usa
ford maverick,0.3191489361702128,0.5999999999999999,0.3410852713178295,0.2761553728381061,0.4761904761904762,0.0,usa
datsun pl510,0.4787234042553192,0.19999999999999996,0.0749354005167959,0.14658349872412818,0.3869047619047619,0.0,japan
volkswagen 1131 deluxe sedan,0.4521276595744681,0.19999999999999996,0.0749354005167959,0.06294301105755606,0.7440476190476191,0.0,europe
peugeot 504,0.4255319148936171,0.19999999999999996,0.10852713178294576,0.30025517436915233,0.5654761904761905,0.0,europe
audi 100 ls,0.398936170212766,0.19999999999999996,0.10077519379844965,0.23164162177487957,0.3869047619047619,0.0,europe
saab 99e,0.4255319148936171,0.19999999999999996,0.09302325581395354,0.21604763254890846,0.5654761904761905,0.0,europe
bmw 2002,0.4521276595744681,0.19999999999999996,0.13695090439276492,0.17607031471505533,0.44642857142857145,0.0,europe
amc gremlin,0.3191489361702128,0.5999999999999999,0.3385012919896641,0.29345052452509224,0.4166666666666667,0.0,usa
ford f250,0.026595744680851074,0.9999999999999999,0.7545219638242895,0.8511482846611853,0.35714285714285715,0.0,usa
chevy c20,0.026595744680851074,0.9999999999999999,0.6175710594315246,0.78338531329742,0.4166666666666667,0.0,usa
dodge d200,0.05319148936170215,0.9999999999999999,0.6459948320413438,0.785086475758435,0.32738095238095244,0.0,usa
hi 1200d,0.0,0.9999999999999999,0.6098191214470285,0.8843209526509783,0.625,0.0,usa
datsun pl510,0.4787234042553192,0.19999999999999996,0.0749354005167959,0.14658349872412818,0.3869047619047619,0.08333333333333331,japan
chevrolet vega 2300,0.5053191489361702,0.19999999999999996,0.186046511627907,0.18457612702013046,0.44642857142857145,0.08333333333333331,usa
toyota corona,0.4255319148936171,0.19999999999999996,0.11627906976744187,0.17436915225404032,0.35714285714285715,0.08333333333333331,japan
ford pinto,0.4255319148936171,0.19999999999999996,0.07751937984496127,0.12276722426991782,0.6547619047619048,0.08333333333333331,usa
amc gremlin,0.2659574468085107,0.5999999999999999,0.42377260981912146,0.28948114544939046,0.29761904761904767,0.08333333333333331,usa
plymouth satellite custom,0.18617021276595747,0.5999999999999999,0.40568475452196384,0.5177204423022399,0.44642857142857145,0.08333333333333331,usa
chevrolet chevelle malibu,0.21276595744680854,0.5999999999999999,0.47028423772609823,0.4865324638502978,0.44642857142857145,0.08333333333333331,usa
ford torino 500,0.2659574468085107,0.5999999999999999,0.47028423772609823,0.4788772327757302,0.44642857142857145,0.08333333333333331,usa
